blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,room_type,units,postal,latitude,longitude,town,country,population,town_latitude,town_longitude
37,CIRCUIT RD,16,1965,GL,total_dwelling_units,570,370037,1.3283,103.8865,Geylang,Singapore,116960,1.3205559999999998,103.886944
50,HAVELOCK RD,10,1966,BM,total_dwelling_units,96,160050,1.2899,103.8269,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
46,LOR 5 TOA PAYOH,13,1992,TP,total_dwelling_units,90,310046,1.3366,103.8535,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
48,LOR 5 TOA PAYOH,20,1992,TP,total_dwelling_units,87,310048,1.3372,103.8539,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
49,LOR 5 TOA PAYOH,20,1992,TP,total_dwelling_units,87,310049,1.3376,103.8531,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
10,JLN BATU,12,1966,KWN,total_dwelling_units,132,431010,1.3022,103.883,Kallang,Singapore,101210,1.31083,103.86556
11,JLN BATU,12,1966,KWN,total_dwelling_units,132,431011,1.3016,103.8825,Kallang,Singapore,101210,1.31083,103.86556
55,LENGKOK BAHRU,16,1966,BM,total_dwelling_units,420,151055,1.2875,103.8133,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
68,LOR 5 TOA PAYOH,12,1966,TP,total_dwelling_units,240,310068,1.3347,103.8535,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
54,LOR 5 TOA PAYOH,12,1967,TP,total_dwelling_units,176,310054,1.3375,103.8504,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
55,LOR 5 TOA PAYOH,12,1967,TP,total_dwelling_units,176,310055,1.3375,103.8512,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
56,LOR 4 TOA PAYOH,10,1966,TP,total_dwelling_units,140,310056,1.3367,103.8503,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
58,LOR 4 TOA PAYOH,10,1966,TP,total_dwelling_units,138,310058,1.3367,103.8505,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
60,LOR 4 TOA PAYOH,30,1998,TP,total_dwelling_units,145,310060,1.3366,103.8507,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
62,LOR 4 TOA PAYOH,30,1998,TP,total_dwelling_units,145,310062,1.3363,103.8514,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
63,LOR 5 TOA PAYOH,12,1966,TP,total_dwelling_units,237,310063,1.3359999999999999,103.8524,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
64,LOR 5 TOA PAYOH,12,1966,TP,total_dwelling_units,239,310064,1.3359999999999999,103.8525,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
2,JLN KUKOH,12,1966,CT,total_dwelling_units,264,163002,1.2884,103.8396,Central Area,Singapore,939890,1.300556,103.821667
3,JLN KUKOH,16,1966,CT,total_dwelling_units,270,161003,1.2882,103.8395,Central Area,Singapore,939890,1.300556,103.821667
28,HOY FATT RD,16,1967,BM,total_dwelling_units,148,151028,1.2868,103.81,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
56,LENGKOK BAHRU,12,1966,BM,total_dwelling_units,176,150056,1.288,103.814,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
57,LENGKOK BAHRU,12,1966,BM,total_dwelling_units,176,151057,1.2881,103.8141,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
58,LENGKOK BAHRU,12,1966,BM,total_dwelling_units,176,150058,1.2886,103.8142,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
59,LENGKOK BAHRU,12,1966,BM,total_dwelling_units,176,150059,1.2887,103.8143,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
61,LENGKOK BAHRU,10,1966,BM,total_dwelling_units,144,150061,1.2896,103.8138,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
92,LOR 4 TOA PAYOH,4,1967,TP,total_dwelling_units,23,310092,1.338,103.8494,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
94,LOR 4 TOA PAYOH,4,1967,TP,total_dwelling_units,45,310094,1.339,103.8495,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
95,LOR 4 TOA PAYOH,4,1967,TP,total_dwelling_units,34,310095,1.3389,103.8489,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
43,LOR 5 TOA PAYOH,13,1992,TP,total_dwelling_units,72,310043,1.3359,103.8544,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
44,LOR 5 TOA PAYOH,11,1992,TP,total_dwelling_units,80,310044,1.3364,103.8538,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
45,LOR 5 TOA PAYOH,20,1992,TP,total_dwelling_units,117,310045,1.3361,103.854,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
104,JLN BT MERAH,12,1967,BM,total_dwelling_units,216,160104,1.2814,103.8246,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
105,JLN BT MERAH,12,1967,BM,total_dwelling_units,324,160105,1.2805,103.8249,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
106,JLN BT MERAH,12,1967,BM,total_dwelling_units,330,160106,1.28,103.8245,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
107,JLN BT MERAH,12,1967,BM,total_dwelling_units,222,160107,1.2799,103.8247,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
107,LOR 1 TOA PAYOH,10,1968,TP,total_dwelling_units,96,310107,1.3412,103.8473,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
109,LOR 1 TOA PAYOH,10,1968,TP,total_dwelling_units,99,310109,1.3411,103.8463,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
111,LOR 1 TOA PAYOH,10,1969,TP,total_dwelling_units,96,310111,1.3411,103.8455,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
103,LOR 1 TOA PAYOH,10,1967,TP,total_dwelling_units,158,310103,1.3407,103.8482,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
104,LOR 1 TOA PAYOH,10,1967,TP,total_dwelling_units,160,310104,1.34,103.8491,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
105,LOR 1 TOA PAYOH,10,1967,TP,total_dwelling_units,160,310105,1.3407,103.8491,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
106,LOR 1 TOA PAYOH,10,1967,TP,total_dwelling_units,158,310106,1.3407,103.8482,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
